OCC_CODE,Commodity Title,Example
19-2041,Project management software,Productivity software
19-2041,Spreadsheet software,Microsoft Excel
19-2041,Word processing software,Microsoft Word
19-2042,Analytical or scientific software,The MathWorks MATLAB
19-2042,Computer aided design CAD software,Autodesk AutoCAD
19-2042,Data base user interface and query software,MySQL
19-2042,Document management software,Adobe Acrobat
19-2042,Electronic mail software,Microsoft Outlook
19-2042,File versioning software,Git
19-2042,Geographic information system,Geographic information system GIS systems
19-2042,Graphics or photo imaging software,Adobe Photoshop
19-2042,Object or component oriented development software,Python
19-2042,Office suite software,Microsoft Office software
19-2042,Presentation software,Microsoft PowerPoint
19-2042,Project management software,Microsoft Project
19-2042,Spreadsheet software,Microsoft Excel
19-2042,Web platform development software,Microsoft Active Server Pages ASP
19-2042,Word processing software,Microsoft Word
19-2043,Analytical or scientific software,The MathWorks MATLAB
19-2043,Computer aided design CAD software,Bentley MicroStation
19-2043,Data base user interface and query software,Microsoft Access
19-2043,Development environment software,Microsoft Visual Basic
19-2043,Geographic information system,Geographic information system GIS systems
19-2043,Object or component oriented development software,R
19-2043,Office suite software,Microsoft Office software
19-2043,Presentation software,Microsoft PowerPoint
19-2043,Spreadsheet software,Microsoft Excel
19-2043,Web platform development software,Microsoft Active Server Pages ASP
19-2043,Word processing software,Microsoft Word
19-2099,Analytical or scientific software,The MathWorks MATLAB
19-2099,Application server software,GitHub
19-2099,Business intelligence and data analysis software,Tableau
19-2099,Cloud-based management software,Amazon Web Services AWS CloudFormation
19-2099,Configuration management software,Puppet
19-2099,Customer relationship management CRM software,Salesforce software
19-2099,Data base management system software,NoSQL
19-2099,Data base user interface and query software,Structured query language SQL
19-2099,Development environment software,Ruby
19-2099,Electronic mail software,Microsoft Outlook
19-2099,Enterprise application integration software,Extensible markup language XML
19-2099,Expert system software,Ansible software
19-2099,File versioning software,Git
19-2099,Geographic information system,ESRI ArcGIS software
19-2099,Graphics or photo imaging software,Adobe Creative Cloud software
19-2099,Medical software,Epic Systems
19-2099,Object or component oriented development software,Swift
19-2099,Object oriented data base management software,PostgreSQL
19-2099,Office suite software,Microsoft Office software
19-2099,Operating system software,UNIX
19-2099,Presentation software,Microsoft PowerPoint
19-2099,Process mapping and design software,Microsoft Visio
19-2099,Program testing software,Selenium
19-2099,Project management software,Microsoft Project
19-2099,Spreadsheet software,Microsoft Excel
19-2099,Storage networking software,Amazon Simple Storage Service S3
19-2099,Web platform development software,Ruby on Rails
19-2099,Word processing software,Microsoft Word
19-3011,Analytical or scientific software,The MathWorks MATLAB
19-3011,Business intelligence and data analysis software,Tableau
19-3011,Data base management system software,Teradata Database
19-3011,Data base user interface and query software,Structured query language SQL
19-3011,Development environment software,Microsoft Visual Studio
19-3011,Electronic mail software,Microsoft Outlook
19-3011,Geographic information system,ESRI ArcGIS software
19-3011,Object or component oriented development software,R
19-3011,Office suite software,Microsoft Office software
19-3011,Operating system software,UNIX Shell
19-3011,Presentation software,Microsoft PowerPoint
19-3011,Spreadsheet software,Microsoft Excel
19-3011,Word processing software,Microsoft Word
19-3022,Analytical or scientific software,The MathWorks MATLAB
19-3022,Business intelligence and data analysis software,Tableau
19-3022,Data base user interface and query software,Structured query language SQL
19-3022,Enterprise application integration software,Extensible markup language XML
19-3022,Enterprise resource planning ERP software,Oracle PeopleSoft
19-3022,Internet browser software,Web browser software
19-3022,Object or component oriented development software,R
19-3022,Office suite software,Microsoft Office software
19-3022,Presentation software,Microsoft PowerPoint
19-3022,Project management software,Microsoft Teams
19-3022,Spreadsheet software,Microsoft Excel
19-3022,Video conferencing software,Zoom
19-3022,Web platform development software,Microsoft Active Server Pages ASP
19-3022,Word processing software,Microsoft Word
19-3032,Analytical or scientific software,SAS
19-3032,Data base user interface and query software,Microsoft Access
19-3032,Document management software,Adobe Acrobat
19-3032,Electronic mail software,Microsoft Outlook
19-3032,Enterprise resource planning ERP software,Oracle PeopleSoft
19-3032,Office suite software,Microsoft Office software
19-3032,Presentation software,Microsoft PowerPoint
19-3032,Process mapping and design software,Microsoft Visio
19-3032,Project management software,Microsoft Project
19-3032,Spreadsheet software,Microsoft Excel
19-3032,Web platform development software,Hypertext markup language HTML
19-3032,Word processing software,Microsoft Word
19-3033,Electronic mail software,Microsoft Outlook
19-3033,Medical software,eClinicalWorks EHR software
19-3033,Office suite software,Microsoft Office software
19-3033,Presentation software,Microsoft PowerPoint
19-3033,Project management software,Microsoft Teams
19-3033,Spreadsheet software,Microsoft Excel
19-3033,Video conferencing software,Zoom
19-3033,Word processing software,Microsoft Word
19-3034,Office suite software,Microsoft Office software
19-3034,Presentation software,Microsoft PowerPoint
19-3034,Spreadsheet software,Microsoft Excel
19-3034,Video conferencing software,Zoom
19-3034,Word processing software,Microsoft Word
19-3039,Analytical or scientific software,IBM SPSS Statistics
19-3039,Data base user interface and query software,Operational Data Store ODS software
19-3039,Office suite software,Microsoft Office software
19-3039,Presentation software,Microsoft PowerPoint
19-3039,Spreadsheet software,Microsoft Excel
19-3039,Word processing software,Microsoft Word
19-3041,Analytical or scientific software,SAS
19-3041,Customer relationship management CRM software,Salesforce software
19-3041,Data base user interface and query software,Microsoft Access
19-3041,Document management software,Adobe Acrobat
19-3041,Electronic mail software,Microsoft Outlook
19-3041,Enterprise resource planning ERP software,SAP software
19-3041,Geographic information system,ESRI ArcGIS software
19-3041,Graphics or photo imaging software,Adobe Photoshop
19-3041,Object or component oriented development software,R
19-3041,Office suite software,Microsoft Office software
19-3041,Operating system software,Microsoft Windows
19-3041,Presentation software,Microsoft PowerPoint
19-3041,Process mapping and design software,Microsoft Visio
19-3041,Project management software,Microsoft Project
19-3041,Spreadsheet software,Microsoft Excel
19-3041,Web page creation and editing software,Facebook
19-3041,Word processing software,Microsoft Word
19-3051,Cloud-based data access and sharing software,Microsoft SharePoint
19-3051,Computer aided design CAD software,Trimble SketchUp Pro
19-3051,Data base user interface and query software,Structured query language SQL
19-3051,Desktop publishing software,Adobe InDesign
19-3051,Document management software,Adobe Acrobat
19-3051,Electronic mail software,Microsoft Outlook
19-3051,Enterprise application integration software,Extensible markup language XML
19-3051,Enterprise resource planning ERP software,SAP software
19-3051,Geographic information system,Geographic information system GIS systems
19-3051,Graphics or photo imaging software,Adobe Photoshop
19-3051,Object or component oriented development software,Oracle Java
19-3051,Office suite software,Microsoft Office software
19-3051,Presentation software,Microsoft PowerPoint
19-3051,Project management software,Microsoft Project
19-3051,Spreadsheet software,Microsoft Excel
19-3051,Web platform development software,Hypertext markup language HTML
19-3051,Word processing software,Microsoft Word
19-3091,Analytical or scientific software,The MathWorks MATLAB
19-3091,Cloud-based data access and sharing software,Microsoft SharePoint
19-3091,Computer aided design CAD software,Autodesk AutoCAD
